timestamp	exp_num	experiment_name	change_type	auc_before	auc_after	delta	outcome	input_tokens	output_tokens	cost_usd	rationale
2026-05-02T16:52	1	hist_gradient_boost_baseline	params_only	0.8162	0.8326	+0.0164	improved	5034	585	0.0239	HistGradientBoostingClassifier is a highly optimized gradient boosting implementation that natively handles categorical-
2026-05-03T04:38	1	expand_all_features_hgb	params_only	0.0000	0.0000	+0.0000	failed	5638	683	0.0272	Expanding the feature set from just `tenure` to include all available numeric and categorical features (MonthlyCharges, 
2026-05-03T04:43	2	expand_features_fix_totalcharges	both_src	0.0000	0.8366	+0.8366	improved	5719	1781	0.0439	The current baseline uses only `tenure` as a numeric feature with a shallow DecisionTree (max_depth=1), giving near-zero
2026-05-03T04:45	3	hgb_tune_depth_iters_regularize	params_only	0.8366	0.8308	-0.0058	reverted	5863	740	0.0287	The current HistGradientBoostingClassifier uses learning_rate=0.05 and n_estimators=200 with max_depth=6. Reducing max_d
2026-05-03T04:47	4	hgb_lower_lr_more_iters	params_only	0.8366	0.8411	+0.0045	improved	5944	698	0.0283	The current model uses HistGradientBoostingClassifier with default hyperparameters after the feature expansion. Tuning l
2026-05-03T10:00	1	expand_ieee_features_hgb	params_only	0.0000	0.0000	+0.0000	failed	6141	2571	0.0570	The current model uses only TransactionAmt as a numeric feature, which is very limited for fraud detection. The IEEE-CIS
2026-05-03T10:02	2	ieee_hgb_core_features	params_only	0.0000	0.0000	+0.0000	failed	6225	1065	0.0347	The current baseline uses only TransactionAmt with a shallow DecisionTree (max_depth=1), giving near-zero AUC on the IEE
2026-05-03T10:04	3	ieee_hgb_transactionamt_only	params_only	0.0000	0.6614	+0.6614	improved	6316	465	0.0259	The previous two IEEE-CIS experiments failed with AUC=0.0000, likely because the parquet file columns don't match what w
2026-05-03T11:27	1	ieee_hgb_expand_core_numerics	params_only	0.0000	0.9289	+0.9289	improved	6356	626	0.0285	The current model uses only TransactionAmt with a DecisionTree and achieves 0.6614 AUC. Switching to HistGradientBoostin
2026-05-03T15:50	1	ieee_expand_v_c_d_columns	params_only	0.0000	0.9326	+0.9326	improved	6605	1739	0.0459	The current model achieves 0.9289 AUC using only a handful of core numeric features (TransactionAmt + card/addr/email/di
2026-05-03T15:57	2	add_m_columns_tune_hgb	params_only	0.9326	0.9341	+0.0015	improved	7932	1772	0.0504	The current HistGradientBoostingClassifier uses a relatively high learning rate (0.05) with 300 iterations. Adding categ
2026-05-03T16:08	3	hgb_regularize_early_stop	train_py	0.9341	0.9367	+0.0026	improved	7971	3917	0.0827	The current HistGradientBoostingClassifier has n_estimators=500 and learning_rate=0.03, but doesn't use early stopping o
